FEN,Evaluation
r1bqnrk1/pppp1ppp/2n5/2b1p3/2B1P3/2N2Q2/PPPP1PPP/R1B1NRK1 b - - 11 7,"{'type': 'cp', 'value': -48}"
r1b1nrk1/pppp1ppp/2n5/2b1p1q1/2B1P3/2N2Q2/PPPP1PPP/R1B1NRK1 w - - 12 8,"{'type': 'cp', 'value': 473}"
r1b1nrk1/pppp1ppp/2n5/2b1p1q1/2BPP3/2N2Q2/PPP2PPP/R1B1NRK1 b - - 0 8,"{'type': 'cp', 'value': 491}"
r1b1nrk1/pppp1ppp/2n3q1/2b1p3/2BPP3/2N2Q2/PPP2PPP/R1B1NRK1 w - - 1 9,"{'type': 'cp', 'value': 524}"
r1b1nrk1/pppp1ppp/2n3q1/2P1p3/2B1P3/2N2Q2/PPP2PPP/R1B1NRK1 b - - 0 9,"{'type': 'cp', 'value': 533}"
r1b1nrk1/pppp1ppp/6q1/2P1p3/2BnP3/2N2Q2/PPP2PPP/R1B1NRK1 w - - 1 10,"{'type': 'cp', 'value': 557}"
r1b1nrk1/pppp1ppp/6q1/2P1p3/2BnP3/2N5/PPP2PPP/R1BQNRK1 b - - 2 10,"{'type': 'cp', 'value': 522}"
r1b1nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N5/PPP2PPP/R1BQNRK1 w - - 0 11,"{'type': 'cp', 'value': 537}"
r1b1nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N3P1/PPP2P1P/R1BQNRK1 b - - 0 11,"{'type': 'cp', 'value': 403}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N3Pb/PPP2P1P/R1BQNRK1 w - - 1 12,"{'type': 'cp', 'value': 380}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N2NPb/PPP2P1P/R1BQ1RK1 b - - 2 12,"{'type': 'cp', 'value': 402}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N2NP1/PPP2P1P/R1BQ1bK1 w - - 0 13,"{'type': 'cp', 'value': 431}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2BnP3/2N2NP1/PPP2P1P/R1B2QK1 b - - 0 13,"{'type': 'cp', 'value': -286}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2B1P3/2N2nP1/PPP2P1P/R1B2QK1 w - - 0 14,"{'type': 'cp', 'value': -311}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2B1P3/2N2nP1/PPP2PKP/R1B2Q2 b - - 1 14,"{'type': 'cp', 'value': -317}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2B1P2n/2N3P1/PPP2PKP/R1B2Q2 w - - 2 15,"{'type': 'cp', 'value': -239}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2B1P2n/2N3P1/PPP2P1P/R1B2Q1K b - - 3 15,"{'type': 'cp', 'value': -212}"
r3nrk1/ppp2ppp/3p2q1/2P1p3/2B1P3/2N2nP1/PPP2P1P/R1B2Q1K w - - 4 16,"{'type': 'cp', 'value': -231}"
r3nrk1/ppp2ppp/3p2q1/2PNp3/2B1P3/5nP1/PPP2P1P/R1B2Q1K b - - 5 16,"{'type': 'cp', 'value': -288}"
r3nrk1/ppp2ppp/3pq3/2PNp3/2B1P3/5nP1/PPP2P1P/R1B2Q1K w - - 6 17,"{'type': 'cp', 'value': 170}"
r3nrk1/ppN2ppp/3pq3/2P1p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K b - - 0 17,"{'type': 'cp', 'value': 201}"
r1q1nrk1/ppN2ppp/3p4/2P1p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K w - - 1 18,"{'type': 'cp', 'value': 197}"
N1q1nrk1/pp3ppp/3p4/2P1p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K b - - 0 18,"{'type': 'cp', 'value': 196}"
q3nrk1/pp3ppp/3p4/2P1p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K w - - 0 19,"{'type': 'cp', 'value': 327}"
q3nrk1/pp3ppp/3P4/4p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K b - - 0 19,"{'type': 'cp', 'value': 211}"
q4rk1/pp3ppp/3n4/4p3/2B1P3/5nP1/PPP2P1P/R1B2Q1K w - - 0 20,"{'type': 'cp', 'value': 211}"
q4rk1/pp3ppp/3n4/4p3/4P3/5nP1/PPP1BP1P/R1B2Q1K b - - 1 20,"{'type': 'cp', 'value': 81}"
q4rk1/pp3ppp/3n4/4p3/3nP3/6P1/PPP1BP1P/R1B2Q1K w - - 2 21,"{'type': 'cp', 'value': 104}"
q4rk1/pp3ppp/3n4/4p3/3nP3/3B2P1/PPP2P1P/R1B2Q1K b - - 3 21,"{'type': 'cp', 'value': 107}"
2q2rk1/pp3ppp/3n4/4p3/3nP3/3B2P1/PPP2P1P/R1B2Q1K w - - 4 22,"{'type': 'cp', 'value': 167}"
2q2rk1/pp3ppp/3n4/4p3/3nP3/2PB2P1/PP3P1P/R1B2Q1K b - - 0 22,"{'type': 'cp', 'value': 158}"
2q2rk1/pp3ppp/3nn3/4p3/4P3/2PB2P1/PP3P1P/R1B2Q1K w - - 1 23,"{'type': 'cp', 'value': 165}"
2q2rk1/pp3ppp/3nn3/4p3/4P3/2PB2P1/PP3P1P/R1B1Q2K b - - 2 23,"{'type': 'cp', 'value': 78}"
2q2rk1/pp3ppp/4n3/4p3/2n1P3/2PB2P1/PP3P1P/R1B1Q2K w - - 3 24,"{'type': 'cp', 'value': 201}"
2q2rk1/pp3ppp/4n3/4p3/2B1P3/2P3P1/PP3P1P/R1B1Q2K b - - 0 24,"{'type': 'cp', 'value': 5}"
5rk1/pp3ppp/4n3/4p3/2q1P3/2P3P1/PP3P1P/R1B1Q2K w - - 0 25,"{'type': 'cp', 'value': 0}"
5rk1/pp3ppp/4n3/4p3/2q1P3/1PP3P1/P4P1P/R1B1Q2K b - - 0 25,"{'type': 'cp', 'value': -21}"
5rk1/pp3ppp/2q1n3/4p3/4P3/1PP3P1/P4P1P/R1B1Q2K w - - 1 26,"{'type': 'cp', 'value': 5}"
5rk1/pp3ppp/2q1n3/4p3/4P3/BPP3P1/P4P1P/R3Q2K b - - 2 26,"{'type': 'cp', 'value': -12}"
3r2k1/pp3ppp/2q1n3/4p3/4P3/BPP3P1/P4P1P/R3Q2K w - - 3 27,"{'type': 'cp', 'value': -15}"
3r2k1/pp2Bppp/2q1n3/4p3/4P3/1PP3P1/P4P1P/R3Q2K b - - 4 27,"{'type': 'cp', 'value': -114}"
6k1/pp1rBppp/2q1n3/4p3/4P3/1PP3P1/P4P1P/R3Q2K w - - 5 28,"{'type': 'cp', 'value': -169}"
6k1/pp1r1ppp/2q1n3/4p3/4P3/BPP3P1/P4P1P/R3Q2K b - - 6 28,"{'type': 'cp', 'value': -188}"
6k1/pp1r1ppp/2q5/4p1n1/4P3/BPP3P1/P4P1P/R3Q2K w - - 7 29,"{'type': 'cp', 'value': -138}"
6k1/pp1r1ppp/2q5/4p1n1/4P3/BPP3P1/P2Q1P1P/R6K b - - 8 29,"{'type': 'mate', 'value': -9}"
6k1/pp3ppp/2q5/4p1n1/4P3/BPP3P1/P2r1P1P/R6K w - - 0 30,"{'type': 'cp', 'value': -1089}"
6k1/pp3ppp/2q5/4p1n1/4P3/BPP3P1/P2r1PKP/R7 b - - 1 30,"{'type': 'mate', 'value': -3}"
6k1/pp3ppp/8/4p1n1/4q3/BPP3P1/P2r1PKP/R7 w - - 0 31,"{'type': 'mate', 'value': -2}"
6k1/pp3ppp/8/4p1n1/4q3/BPP3P1/P2r1P1P/R4K2 b - - 1 31,"{'type': 'mate', 'value': -1}"
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2rqP1P/R4K2 w - - 2 32,"{'type': 'mate', 'value': -2}"
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2rqPKP/R7 b - - 3 32,"{'type': 'mate', 'value': -2}"
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2r1qKP/R7 w - - 0 33,"{'type': 'mate', 'value': -1}"
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2r1q1P/R6K b - - 1 33,"{'type': 'mate', 'value': -1}"
6k1/pp3ppp/8/4p1n1/8/BPP3P1/P2r3q/R6K w - - 0 34,"{'type': 'mate', 'value': 0}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 43}"
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,"{'type': 'cp', 'value': 47}"
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,"{'type': 'cp', 'value': 33}"
rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,"{'type': 'cp', 'value': 73}"
rn1qkbnr/ppp2ppp/3pb3/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,"{'type': 'cp', 'value': 42}"
rn1qkbnr/ppp2ppp/3p4/4p3/2b1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,"{'type': 'cp', 'value': 39}"
rn1qkbnr/ppp2ppp/3p4/4p3/2P1P3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 5,"{'type': 'cp', 'value': 50}"
rn1qkbnr/pp3ppp/3p4/2p1p3/2P1P3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 6,"{'type': 'cp', 'value': 86}"
rn1qkbnr/pp3ppp/3p4/2p1p3/2P1P3/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 6,"{'type': 'cp', 'value': 92}"
rn1qkbnr/pp3pp1/3p3p/2p1p3/2P1P3/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,"{'type': 'cp', 'value': 79}"
rn1qkbnr/pp3pp1/3p3p/2p1p3/2P1P3/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 1 7,"{'type': 'cp', 'value': 86}"
rn1qkb1r/pp3pp1/3p1n1p/2p1p3/2P1P3/2N2N2/PPP2PPP/R1BQ1RK1 w kq - 2 8,"{'type': 'cp', 'value': 84}"
rn1qkb1r/pp3pp1/3p1n1p/2pNp3/2P1P3/5N2/PPP2PPP/R1BQ1RK1 b kq - 3 8,"{'type': 'cp', 'value': 77}"
rn1qkb1r/pp3pp1/3p3p/2pNp3/2P1n3/5N2/PPP2PPP/R1BQ1RK1 w kq - 0 9,"{'type': 'cp', 'value': 325}"
rn1qkb1r/pp3pp1/3p3p/2pNp3/2P1n3/5N2/PPP2PPP/R1BQR1K1 b kq - 1 9,"{'type': 'cp', 'value': 343}"
rn1qkb1r/pp3pp1/3p1n1p/2pNp3/2P5/5N2/PPP2PPP/R1BQR1K1 w kq - 2 10,"{'type': 'cp', 'value': 419}"
rn1qkb1r/pp3pp1/3p1N1p/2p1p3/2P5/5N2/PPP2PPP/R1BQR1K1 b kq - 0 10,"{'type': 'cp', 'value': -58}"
rn2kb1r/pp3pp1/3p1q1p/2p1p3/2P5/5N2/PPP2PPP/R1BQR1K1 w kq - 0 11,"{'type': 'cp', 'value': -68}"
rn2kb1r/pp3pp1/3p1q1p/2pQp3/2P5/5N2/PPP2PPP/R1B1R1K1 b kq - 1 11,"{'type': 'cp', 'value': -151}"
r3kb1r/pp1n1pp1/3p1q1p/2pQp3/2P5/5N2/PPP2PPP/R1B1R1K1 w kq - 2 12,"{'type': 'cp', 'value': 27}"
r3kb1r/pQ1n1pp1/3p1q1p/2p1p3/2P5/5N2/PPP2PPP/R1B1R1K1 b kq - 0 12,"{'type': 'cp', 'value': 30}"
1r2kb1r/pQ1n1pp1/3p1q1p/2p1p3/2P5/5N2/PPP2PPP/R1B1R1K1 w k - 1 13,"{'type': 'cp', 'value': 42}"
1r2kb1r/Q2n1pp1/3p1q1p/2p1p3/2P5/5N2/PPP2PPP/R1B1R1K1 b k - 0 13,"{'type': 'cp', 'value': 34}"
1r2k2r/Q2nbpp1/3p1q1p/2p1p3/2P5/5N2/PPP2PPP/R1B1R1K1 w k - 1 14,"{'type': 'cp', 'value': 53}"
1r2k2r/Q2nbpp1/3p1q1p/2p1p3/2P5/5N2/PPPB1PPP/R3R1K1 b k - 2 14,"{'type': 'cp', 'value': -11}"
1r2k2r/Q2nbpp1/3p3p/2p1pq2/2P5/5N2/PPPB1PPP/R3R1K1 w k - 3 15,"{'type': 'cp', 'value': 53}"
1r2k2r/Q2nbpp1/3p3p/2p1pq2/2P5/2P2N2/PP1B1PPP/R3R1K1 b k - 0 15,"{'type': 'cp', 'value': -143}"
1r2k2r/Q2nbpp1/3p3p/2p1p3/2P5/2P2N2/PPqB1PPP/R3R1K1 w k - 1 16,"{'type': 'cp', 'value': 114}"
1r2k2r/Q2nbpp1/3p3p/2p1p3/2P5/2P2N2/PPqB1PPP/1R2R1K1 b k - 2 16,"{'type': 'cp', 'value': 0}"
1r3rk1/Q2nbpp1/3p3p/2p1p3/2P5/2P2N2/PPqB1PPP/1R2R1K1 w - - 3 17,"{'type': 'cp', 'value': 326}"
1r3rk1/Q2nbpp1/3p3p/2p1p3/2P5/2P2N2/PPqB1PPP/1RR3K1 b - - 4 17,"{'type': 'cp', 'value': -92}"
1r3rk1/Q2nbpp1/3p3p/2p1p3/2P5/2Pq1N2/PP1B1PPP/1RR3K1 w - - 5 18,"{'type': 'cp', 'value': 282}"
1r3rk1/Q2nbpp1/3p3p/2p1p3/1PP5/2Pq1N2/P2B1PPP/1RR3K1 b - - 0 18,"{'type': 'cp', 'value': -104}"
1r1r2k1/Q2nbpp1/3p3p/2p1p3/1PP5/2Pq1N2/P2B1PPP/1RR3K1 w - - 1 19,"{'type': 'cp', 'value': -100}"
1r1r2k1/Q2nbpp1/3p3p/2P1p3/2P5/2Pq1N2/P2B1PPP/1RR3K1 b - - 0 19,"{'type': 'cp', 'value': -531}"
1r1r2k1/Q2nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/1RR3K1 w - - 0 20,"{'type': 'cp', 'value': -62}"
1R1r2k1/Q2nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/2R3K1 b - - 0 20,"{'type': 'cp', 'value': -57}"
1r4k1/Q2nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/2R3K1 w - - 0 21,"{'type': 'cp', 'value': -77}"
1r4k1/Q2nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/3R2K1 b - - 1 21,"{'type': 'cp', 'value': -349}"
6k1/Q2nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/1r1R2K1 w - - 2 22,"{'type': 'cp', 'value': 137}"
Q5k1/3nbpp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/1r1R2K1 b - - 3 22,"{'type': 'cp', 'value': -165}"
Q4bk1/3n1pp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/1r1R2K1 w - - 4 23,"{'type': 'cp', 'value': -88}"
5bk1/3n1pp1/7p/2p1p3/Q1P5/2Pq1N2/P2B1PPP/1r1R2K1 b - - 5 23,"{'type': 'cp', 'value': -557}"
5bk1/3n1pp1/7p/2p1p3/Q1P5/2Pq1N2/P2B1PPP/3r2K1 w - - 0 24,"{'type': 'cp', 'value': -71}"
5bk1/3n1pp1/7p/2p1p3/2P5/2Pq1N2/P2B1PPP/3Q2K1 b - - 0 24,"{'type': 'cp', 'value': -61}"
5bk1/3n1pp1/7p/2p5/2P1p3/2Pq1N2/P2B1PPP/3Q2K1 w - - 0 25,"{'type': 'cp', 'value': -67}"
5bk1/3n1pp1/7p/2p5/2P1p3/2Pq4/P2B1PPP/3QN1K1 b - - 1 25,"{'type': 'cp', 'value': -63}"
5bk1/3n1pp1/3q3p/2p5/2P1p3/2P5/P2B1PPP/3QN1K1 w - - 2 26,"{'type': 'cp', 'value': 11}"
5bk1/3n1pp1/3q3p/2p5/2P1p3/2P4P/P2B1PP1/3QN1K1 b - - 0 26,"{'type': 'cp', 'value': 1}"
5bk1/3n1pp1/7p/2p1q3/2P1p3/2P4P/P2B1PP1/3QN1K1 w - - 1 27,"{'type': 'cp', 'value': 44}"
5bk1/3n1pp1/7p/2p1q3/P1P1p3/2P4P/3B1PP1/3QN1K1 b - - 0 27,"{'type': 'cp', 'value': 26}"
6k1/3n1pp1/3b3p/2p1q3/P1P1p3/2P4P/3B1PP1/3QN1K1 w - - 1 28,"{'type': 'cp', 'value': 194}"
6k1/3n1pp1/3b3p/2p1q3/P1P1pP2/2P4P/3B2P1/3QN1K1 b - f3 0 28,"{'type': 'cp', 'value': 6}"
6k1/3n1pp1/3b3p/2p2q2/P1P1pP2/2P4P/3B2P1/3QN1K1 w - - 1 29,"{'type': 'cp', 'value': 178}"
6k1/3n1pp1/3b3p/2p2q2/P1P1pP2/2P1B2P/6P1/3QN1K1 b - - 2 29,"{'type': 'cp', 'value': 83}"
6k1/3n1pp1/7p/2p2q2/P1P1pb2/2P1B2P/6P1/3QN1K1 w - - 0 30,"{'type': 'cp', 'value': 351}"
6k1/3n1pp1/7p/2p2q2/P1P1pB2/2P4P/6P1/3QN1K1 b - - 0 30,"{'type': 'cp', 'value': 379}"
6k1/3n1pp1/7p/2p5/P1P1pq2/2P4P/6P1/3QN1K1 w - - 0 31,"{'type': 'cp', 'value': 369}"
6k1/3Q1pp1/7p/2p5/P1P1pq2/2P4P/6P1/4N1K1 b - - 0 31,"{'type': 'cp', 'value': 375}"
6k1/3Q1pp1/7p/2p5/P1P1p3/2P1q2P/6P1/4N1K1 w - - 1 32,"{'type': 'cp', 'value': 403}"
6k1/3Q1pp1/7p/2p5/P1P1p3/2P1q2P/6PK/4N3 b - - 2 32,"{'type': 'cp', 'value': 0}"
6k1/3Q1pp1/7p/2p5/P1P1p3/2P4P/6PK/4q3 w - - 0 33,"{'type': 'cp', 'value': 0}"
4Q1k1/5pp1/7p/2p5/P1P1p3/2P4P/6PK/4q3 b - - 1 33,"{'type': 'cp', 'value': 0}"
4Q3/5ppk/7p/2p5/P1P1p3/2P4P/6PK/4q3 w - - 2 34,"{'type': 'cp', 'value': 0}"
8/5Qpk/7p/2p5/P1P1p3/2P4P/6PK/4q3 b - - 0 34,"{'type': 'cp', 'value': 0}"
8/5Qpk/7p/2p5/P1P5/2P1p2P/6PK/4q3 w - - 0 35,"{'type': 'cp', 'value': 0}"
8/6pk/7p/2p2Q2/P1P5/2P1p2P/6PK/4q3 b - - 1 35,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/2p2Q2/P1P5/2P1p2P/6PK/4q3 w - - 2 36,"{'type': 'cp', 'value': 104}"
6k1/6p1/7p/2pQ4/P1P5/2P1p2P/6PK/4q3 b - - 3 36,"{'type': 'cp', 'value': 15}"
8/6pk/7p/2pQ4/P1P5/2P1p2P/6PK/4q3 w - - 4 37,"{'type': 'cp', 'value': 32}"
8/6pk/7p/2Q5/P1P5/2P1p2P/6PK/4q3 b - - 0 37,"{'type': 'cp', 'value': 0}"
8/6pk/7p/2Q5/P1P5/2P4P/4p1PK/4q3 w - - 0 38,"{'type': 'cp', 'value': 0}"
8/6pk/7p/5Q2/P1P5/2P4P/4p1PK/4q3 b - - 1 38,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/5Q2/P1P5/2P4P/4p1PK/4q3 w - - 2 39,"{'type': 'cp', 'value': 0}"
6k1/6p1/4Q2p/8/P1P5/2P4P/4p1PK/4q3 b - - 3 39,"{'type': 'cp', 'value': 0}"
8/6pk/4Q2p/8/P1P5/2P4P/4p1PK/4q3 w - - 4 40,"{'type': 'cp', 'value': 0}"
8/6pk/7p/8/P1P1Q3/2P4P/4p1PK/4q3 b - - 5 40,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/8/P1P1Q3/2P4P/4p1PK/4q3 w - - 6 41,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/P7/2P1Q3/2P4P/4p1PK/4q3 b - - 0 41,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/P7/2P1Q3/2P4P/4p1PK/3q4 w - - 1 42,"{'type': 'cp', 'value': 0}"
Q5k1/6p1/7p/P7/2P5/2P4P/4p1PK/3q4 b - - 2 42,"{'type': 'cp', 'value': 0}"
Q7/6pk/7p/P7/2P5/2P4P/4p1PK/3q4 w - - 3 43,"{'type': 'cp', 'value': 0}"
8/6pk/7p/P7/2P1Q3/2P4P/4p1PK/3q4 b - - 4 43,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/P7/2P1Q3/2P4P/4p1PK/3q4 w - - 5 44,"{'type': 'cp', 'value': 0}"
6k1/6p1/7p/P2Q4/2P5/2P4P/4p1PK/3q4 b - - 6 44,"{'type': 'cp', 'value': -565}"
6k1/6p1/7p/P2q4/2P5/2P4P/4p1PK/8 w - - 0 45,"{'type': 'cp', 'value': -538}"
6k1/6p1/7p/P2P4/8/2P4P/4p1PK/8 b - - 0 45,"{'type': 'cp', 'value': -556}"
6k1/6p1/7p/P2P4/8/2P4P/6PK/4q3 w - - 0 46,"{'type': 'cp', 'value': -532}"
6k1/6p1/P6p/3P4/8/2P4P/6PK/4q3 b - - 0 46,"{'type': 'cp', 'value': -605}"
6k1/6p1/P6p/3P4/8/2P4P/6PK/q7 w - - 1 47,"{'type': 'cp', 'value': -601}"
6k1/6p1/P2P3p/8/8/2P4P/6PK/q7 b - - 0 47,"{'type': 'cp', 'value': -634}"
6k1/6p1/q2P3p/8/8/2P4P/6PK/8 w - - 0 48,"{'type': 'cp', 'value': -635}"
6k1/3P2p1/q6p/8/8/2P4P/6PK/8 b - - 0 48,"{'type': 'cp', 'value': -607}"
q5k1/3P2p1/7p/8/8/2P4P/6PK/8 w - - 1 49,"{'type': 'cp', 'value': -626}"
q5k1/3P2p1/7p/8/2P5/7P/6PK/8 b - - 0 49,"{'type': 'cp', 'value': -623}"
3q2k1/3P2p1/7p/8/2P5/7P/6PK/8 w - - 1 50,"{'type': 'cp', 'value': -641}"
3q2k1/3P2p1/7p/2P5/8/7P/6PK/8 b - - 0 50,"{'type': 'cp', 'value': -643}"
6k1/3q2p1/7p/2P5/8/7P/6PK/8 w - - 0 51,"{'type': 'cp', 'value': -639}"
6k1/3q2p1/2P4p/8/8/7P/6PK/8 b - - 0 51,"{'type': 'cp', 'value': -678}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 36}"
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 43}"
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,"{'type': 'cp', 'value': 38}"
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,"{'type': 'cp', 'value': 24}"
r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,"{'type': 'cp', 'value': 70}"
r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 1 4,"{'type': 'cp', 'value': 71}"
r1bqk1nr/pppp1pp1/2n4p/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5,"{'type': 'cp', 'value': 104}"
r1bqk1nr/pppp1pp1/2n4p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,"{'type': 'cp', 'value': 13}"
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 1 6,"{'type': 'cp', 'value': 27}"
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 2 6,"{'type': 'cp', 'value': 17}"
r1bqk2r/pppp1pp1/2n4p/2b1p3/2B1P1n1/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 3 7,"{'type': 'cp', 'value': 62}"
r1bqk2r/pppp1pp1/2n4p/2b1p3/2B1P1n1/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq - 0 7,"{'type': 'cp', 'value': 50}"
r1bqk2r/pppp1pp1/2n4p/2b1p3/2B1P3/2NP1N1P/PPP2nP1/R1BQ1RK1 w kq - 0 8,"{'type': 'cp', 'value': 267}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 22}"
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 23}"
rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,"{'type': 'cp', 'value': 3}"
r1bqkbnr/pp1ppppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,"{'type': 'cp', 'value': 16}"
r1bqkbnr/pp1ppppp/2n5/8/Q3P3/8/PPP2PPP/RNB1KBNR b KQkq - 2 4,"{'type': 'cp', 'value': -4}"
r1bqkbnr/pp1p1ppp/2n5/4p3/Q3P3/8/PPP2PPP/RNB1KBNR w KQkq - 0 5,"{'type': 'cp', 'value': 6}"
r1bqkbnr/pp1p1ppp/2n5/4p3/Q3P3/4B3/PPP2PPP/RN2KBNR b KQkq - 1 5,"{'type': 'cp', 'value': -16}"
r1bqkb1r/pp1p1ppp/2n2n2/4p3/Q3P3/4B3/PPP2PPP/RN2KBNR w KQkq - 2 6,"{'type': 'cp', 'value': -24}"
r1bqkb1r/pp1p1ppp/2n2n2/4p3/Q3P3/4BN2/PPP2PPP/RN2KB1R b KQkq - 3 6,"{'type': 'cp', 'value': -27}"
r1bqkb1r/pp1p1pp1/2n2n1p/4p3/Q3P3/4BN2/PPP2PPP/RN2KB1R w KQkq - 0 7,"{'type': 'cp', 'value': 13}"
r1bqkb1r/pp1p1pp1/2n2n1p/4p3/Q3P3/2N1BN2/PPP2PPP/R3KB1R b KQkq - 1 7,"{'type': 'cp', 'value': -59}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
